date,code,side,amount,cost
2025-09-16,600200,sell,75474.67888220541,249.06644031127783
2025-09-16,002355,sell,68663.19131572702,226.58853134189917
2025-09-16,300651,sell,80837.94434259171,266.7652163305527
2025-09-16,002103,sell,68619.03492259792,226.44281524457313
2025-09-16,300225,sell,91609.13542614332,302.31014690627296
2025-09-16,000615,sell,69362.11051700273,228.894964706109
2025-09-16,003019,sell,79456.71211928806,262.2071499936506
2025-09-16,603377,sell,82460.03243268591,272.1181070278635
2025-09-16,603730,sell,73972.63565185091,244.109697651108
2025-09-16,600029,sell,77326.93539114247,255.17888679077015
2025-09-16,300078,sell,76764.02369182417,253.32127818301976
2025-09-16,300081,sell,70236.45581217937,231.7803041801919
2025-09-16,301259,sell,75978.60801754521,250.7294064578992
2025-09-16,688531,sell,71710.40424729975,236.64433401608918
2025-09-16,600590,sell,57007.22239786854,188.1238339129662
2025-09-16,300781,sell,70691.13725416064,233.2807529387301
2025-09-16,603696,sell,78534.52894423102,259.1639455159624
2025-09-16,600360,sell,63652.30868919083,210.05261867432975
2025-09-16,002231,sell,62489.78789171846,206.2163000426709
2025-09-16,688084,buy,72801.84411626574,167.4442414674112
2025-09-16,002058,buy,72801.84411626574,167.4442414674112
2025-09-16,000691,buy,72801.84411626574,167.4442414674112
2025-09-16,300280,buy,72801.84411626574,167.4442414674112
2025-09-16,002581,buy,72801.84411626574,167.4442414674112
2025-09-16,300204,buy,72801.84411626574,167.4442414674112
2025-09-16,600735,buy,72801.84411626574,167.4442414674112
2025-09-16,600525,buy,72801.84411626574,167.4442414674112
2025-09-16,600475,buy,72801.84411626574,167.4442414674112
2025-09-16,001234,buy,72801.84411626574,167.4442414674112
2025-09-16,601818,buy,72801.84411626574,167.4442414674112
2025-09-16,002174,buy,72801.84411626574,167.4442414674112
2025-09-16,600170,buy,72801.84411626574,167.4442414674112
2025-09-16,300586,buy,72801.84411626574,167.4442414674112
2025-09-16,600015,buy,72801.84411626574,167.4442414674112
2025-09-16,601169,buy,72801.84411626574,167.4442414674112
2025-09-16,603388,buy,72801.84411626574,167.4442414674112
2025-09-16,603843,buy,72801.84411626574,167.4442414674112
2025-09-16,600016,buy,72801.84411626574,167.4442414674112
2025-09-16,300591,buy,72801.84411626574,167.4442414674112
2025-10-22,688084,sell,71266.15988213643,235.17832761105024
2025-10-22,600475,sell,68984.02588955377,227.64728543552744
2025-10-22,601818,sell,72801.84411626571,240.24608558367686
2025-10-22,002174,sell,74014.24596118373,244.2470116719063
2025-10-22,300586,sell,67436.78284277226,222.54138338114845
2025-10-22,601169,sell,73947.32767753566,244.0261813358677
2025-10-22,600016,sell,74047.84144832897,244.3578767794856
2025-10-22,002058,sell,66658.34277262547,219.97253114966406
2025-10-22,000691,sell,96392.68558948085,318.0958624452868
2025-10-22,300280,sell,55901.416017846896,184.47467285889476
2025-10-22,002581,sell,62728.10056994526,207.00273188081934
2025-10-22,300204,sell,69928.34607869483,230.76354205969292
2025-10-22,600525,sell,60194.69550100995,198.64249515333282
2025-10-22,001234,sell,60141.60781274394,198.467305782055
