,strategy,benchmark
2026-01-23,1610187.0213933703,2086925.2392646568
2026-01-26,1573044.4277412388,2064088.8178245146
2026-01-27,1576472.340435944,2061493.1476347237
2026-01-28,1585163.6966159325,2050692.8957686287
2026-01-29,1600446.386699404,2036147.8169056268
2026-01-30,1500552.70664701,2031060.665510044
2026-02-02,1470636.167791344,1982988.4564563895
2026-02-03,1500499.4780117252,2027768.93260025
2026-02-04,1612977.9683369428,2037906.9085559754
2026-02-05,1641706.3889791525,2021254.0255172704
2026-02-06,1520087.4207608073,2025660.5284270388
2026-02-09,1548753.8333967493,2061398.4338486278
2026-02-10,1576850.5092352151,2062373.3089018601
2026-02-11,1677387.2469515523,2058975.667039185
2026-02-12,1635157.6017443077,2058187.0080900977
2026-02-13,1613728.4984147435,2044241.9316878943
2026-02-24,1554527.4670327269,2070815.6391247364
2026-02-25,1594896.3655375184,2092841.6611486939
2026-02-26,1583533.1339334103,2099706.8648421373
2026-02-27,1607913.6933930714,2115660.6390047395
2026-03-02,1560060.2549196475,2080944.5929632878
2026-03-03,1499419.9656456707,2011851.6738514919
2026-03-04,1514901.7898592555,2001413.2732109106
2026-03-05,1517429.1634751367,2025959.1883177275
2026-03-06,1539921.2642560161,2058398.484785213
2026-03-09,1517347.1432172635,2043455.3106831799
2026-03-10,1530068.9596297876,2080157.1833677292
2026-03-11,1536470.2004676245,2078932.9528596667
2026-03-12,1518273.557625788,2064166.3964073653
2026-03-13,1490684.9869955482,2046067.3822449765
2026-03-16,1491722.5061062316,2049105.996338311
2026-03-17,1467168.3186467662,2010102.450485527
2026-03-18,1465632.362276313,2031640.6492477425
2026-03-19,1449945.2645783708,1983717.6867780392
2026-03-20,1411418.15286104,1938362.0386615973
2026-03-23,1371456.028404184,1839071.1075647813
2026-03-24,1488778.625298515,1902493.1799090852
2026-03-25,1519473.6551246056,1940428.8905325257
2026-03-26,1482205.3384762672,1912357.8144093237
2026-03-27,1516089.1077544128,1940482.7812433483
2026-03-30,1545879.2247367213,1947150.2422095235
2026-03-31,1529047.183850399,1918182.7382001404
2026-04-01,1538529.8171659026,1950223.4604323024
2026-04-02,1502830.4511186555,1918859.02720796
2026-04-03,1455656.6374484305,1878830.0479770584
2026-04-07,1452401.8154762296,1905047.359822456
2026-04-08,1513910.4337118713,1978717.9331722558
2026-04-09,1482982.6884500678,1957738.6303027186
2026-04-10,1488799.2680950798,1975297.3269836707
2026-04-13,1490014.9073083429,1978759.8783273057
2026-04-14,1508479.1854761227,1998407.0231690402
2026-04-15,1486959.0819341673,1990609.4419383283
2026-04-16,1528666.2043933165,2020011.5151242611
2026-04-17,1517122.0806106008,2022466.2088239875
2026-04-20,1536039.9194092932,2037548.3614159662
2026-04-21,1527754.987443406,2033405.5890507598
2026-04-22,1552872.6811403437,2043595.065476164
2026-04-23,1309325.6422842355,2020708.381485883
2026-04-24,1298192.8750411507,2011910.8059206402
2026-04-27,1164436.2686166954,2028433.161318604
2026-04-28,934415.6119692649,2009269.6317501103
